Date,Numeros,Etoiles,SUPER-STAR
03.05.2013,3-5-34-40-49,02.03.2022,Z-8-1-2-Z
30.04.2013,13-36-40-43-50,05.09.2022,M-4-0-2-J
26.04.2013,11-16-24-38-40,02.05.2022,W-3-5-2-Q
23.04.2013,1-4-7-10-50,04.11.2022,G-9-9-2-J
19.04.2013,1-8-42-46-48,04.07.2022,B-2-4-4-T
16.04.2013,1-11-22-33-50,04.06.2022,O-8-5-3-N
12.04.2013,5-10-15-28-45,03.09.2022,V-5-1-9-Y
09.04.2013,15-35-38-44-48,05.10.2022,H-6-1-0-P
05.04.2013,1-11-17-32-39,02.07.2022,L-1-4-9-Z
02.04.2013,12-17-25-29-41,01.04.2022,I-7-1-0-C
29.03.2013,13-30-43-44-46,05.09.2022,T-1-4-5-U
26.03.2013,4-26-30-42-44,06.11.2022,W-9-6-7-Z
22.03.2013,12-27-32-34-49,08.09.2022,X-9-0-5-D
19.03.2013,19-32-35-37-44,01.09.2022,G-4-8-6-D
15.03.2013,4-14-21-24-39,03.10.2022,I-0-0-9-W
12.03.2013,2-4-10-22-50,05.08.2022,D-4-0-1-D
08.03.2013,3-20-23-28-42,08.11.2022,P-8-4-2-Z
05.03.2013,8-19-31-33-39,02.07.2022,D-8-2-4-Q
01.03.2013,1-11-29-36-42,04.05.2022,T-4-3-0-V
26.02.2013,3-12-13-17-30,02.06.2022,Y-6-5-1-S
22.02.2013,15-16-28-36-37,02.11.2022,K-4-2-6-U
19.02.2013,12-15-28-30-44,08.09.2022,A-4-5-4-W
15.02.2013,2-4-22-28-42,04.09.2022,B-1-9-0-S
12.02.2013,5-11-16-25-28,07.09.2022,J-0-7-5-V
08.02.2013,9-11-14-34-44,10.11.2022,W-7-3-6-G
05.02.2013,6-25-31-40-45,06.07.2022,V-7-2-8-U
01.02.2013,5-21-34-37-38,01.06.2022,D-7-7-6-Z
29.01.2013,9-16-26-36-39,02.06.2022,O-7-3-2-E
25.01.2013,3-10-18-31-37,02.04.2022,X-4-9-0-I
22.01.2013,1-10-44-45-48,01.04.2022,N-7-6-0-I
18.01.2013,4-26-27-30-39,03.10.2022,E-2-9-1-J
15.01.2013,22-38-40-42-47,01.11.2022,F-8-7-5-V
11.01.2013,4-22-29-37-41,04.07.2022,Z-8-4-7-C
08.01.2013,2-20-22-26-47,05.09.2022,J-0-2-3-S
04.01.2013,4-10-22-27-41,08.10.2022,J-6-3-4-H
01.01.2013,2-7-8-36-49,01.11.2022,I-4-3-6-E
28.12.2012,17-24-26-27-49,03.05.2022,H-8-5-8-U
25.12.2012,14-18-20-23-32,03.10.2022,D-8-7-3-Q
21.12.2012,3-5-22-40-42,03.10.2022,L-0-3-1-R
18.12.2012,14-18-20-35-44,02.05.2022,S-7-8-1-P
14.12.2012,10-11-29-40-43,03.11.2022,Z-8-2-9-U
11.12.2012,1-4-9-43-50,06.08.2022,W-0-5-1-Y
07.12.2012,10-16-18-31-42,02.05.2022,T-7-3-8-P
04.12.2012,5-10-28-29-44,02.04.2022,F-0-1-1-Z
30.11.2012,10-18-23-24-40,03.04.2022,Q-0-8-9-N
27.11.2012,6-10-23-44-49,01.07.2022,C-1-4-6-I
23.11.2012,1-9-11-20-40,01.05.2022,Q-3-6-3-I
20.11.2012,28-30-42-45-49,05.10.2022,Y-8-3-9-W
16.11.2012,10-15-19-23-41,02.09.2022,Z-9-7-8-V
13.11.2012,11-16-21-24-29,02.06.2022,B-8-5-5-B
09.11.2012,14-21-22-28-47,04.05.2022,L-2-6-8-A
06.11.2012,7-20-25-35-41,01.09.2022,G-6-7-1-Y
02.11.2012,3-6-10-11-44,03.04.2022,N-5-2-7-M
30.10.2012,23-24-25-31-44,02.03.2022,X-4-5-6-L
26.10.2012,5-6-9-27-38,05.11.2022,U-9-0-5-J
23.10.2012,1-28-35-38-50,02.10.2022,V-1-9-4-G
19.10.2012,16-29-37-40-44,08.10.2022,J-0-7-1-Z
16.10.2012,10-32-40-41-49,02.08.2022,L-1-8-4-V
12.10.2012,6-7-17-35-43,02.08.2022,D-9-7-5-M
09.10.2012,2-8-10-23-25,08.09.2022,M-7-8-0-C
05.10.2012,9-16-18-19-21,02.03.2022,D-5-4-1-S
02.10.2012,4-16-21-36-42,07.08.2022,Z-6-0-2-N
28.09.2012,20-23-26-30-33,06.09.2022,B-5-1-5-K
25.09.2012,7-25-27-48-49,01.04.2022,Z-8-8-8-R
21.09.2012,4-19-34-41-43,07.11.2022,B-6-5-1-Y
18.09.2012,6-7-38-39-44,07.09.2022,G-6-5-3-E
14.09.2012,3-10-23-27-44,07.09.2022,Y-0-6-4-M
11.09.2012,6-15-22-37-44,02.04.2022,M-7-5-0-A
07.09.2012,13-15-30-35-42,04.06.2022,X-9-5-7-U
04.09.2012,11-17-18-39-44,05.10.2022,A-7-5-7-R
31.08.2012,16-28-31-33-48,07.11.2022,M-4-6-7-W
28.08.2012,1-18-25-26-44,04.05.2022,W-2-5-3-G
24.08.2012,5-6-12-19-37,03.07.2022,Q-5-2-5-Y
21.08.2012,4-5-17-38-48,03.04.2022,D-3-7-1-V
17.08.2012,19-25-28-33-44,02.08.2022,X-6-3-6-C
14.08.2012,1-16-38-42-45,09.10.2022,R-9-3-4-Z
10.08.2012,11-17-21-48-50,09.10.2022,S-5-9-3-S
07.08.2012,20-27-34-46-50,02.03.2022,T-5-8-0-I
03.08.2012,24-34-35-42-46,01.05.2022,Y-5-6-1-I
31.07.2012,4-29-35-36-39,08.09.2022,L-2-8-0-P
27.07.2012,14-15-21-23-48,02.10.2022,Y-3-3-8-F
24.07.2012,4-16-18-25-44,01.11.2022,I-2-5-7-H
20.07.2012,10-19-23-45-49,09.10.2022,X-2-8-1-A
17.07.2012,2-7-24-43-46,08.10.2022,M-8-0-6-H
13.07.2012,8-18-25-35-46,04.09.2022,J-3-8-9-G
10.07.2012,1-3-16-24-37,01.08.2022,U-5-3-1-T
06.07.2012,31-32-38-40-42,01.03.2022,A-0-6-8-K
03.07.2012,2-7-22-27-40,03.06.2022,O-1-9-7-H
29.06.2012,14-17-28-29-39,01.11.2022,C-5-8-1-L
26.06.2012,1-11-20-22-35,08.10.2022,L-1-7-3-N
22.06.2012,14-18-19-43-49,03.07.2022,J-9-1-8-X
19.06.2012,7-17-20-35-50,05.11.2022,R-7-3-4-P
15.06.2012,10-22-27-38-48,03.07.2022,S-4-8-5-K
12.06.2012,8-15-26-30-48,09.10.2022,H-0-4-8-T
08.06.2012,5-11-22-34-40,09.11.2022,Y-2-4-8-B
05.06.2012,13-34-37-47-49,08.09.2022,B-1-6-8-I
01.06.2012,2-4-14-26-36,09.10.2022,Y-1-5-9-V
29.05.2012,8-15-17-25-28,03.11.2022,N-0-8-5-D
25.05.2012,12-22-35-46-49,02.08.2022,P-0-0-6-B
22.05.2012,16-31-32-37-41,01.07.2022,A-6-1-3-S
18.05.2012,13-29-43-47-50,09.11.2022,B-2-4-7-E
15.05.2012,2-11-13-26-50,02.05.2022,V-0-6-0-T
11.05.2012,1-13-17-38-44,02.11.2022,A-3-4-1-S
08.05.2012,3-21-34-38-48,05.08.2022,Q-5-3-6-U
04.05.2012,3-26-39-40-41,01.02.2022,B-1-5-6-F
01.05.2012,4-5-15-19-41,09.11.2022,Q-2-9-0-B
27.04.2012,20-27-30-36-43,01.06.2022,J-5-0-1-S
24.04.2012,8-9-24-43-48,03.05.2022,H-7-0-6-C
20.04.2012,3-6-29-32-41,10.11.2022,U-6-2-2-X
17.04.2012,10-28-33-48-49,01.10.2022,A-7-4-5-Z
13.04.2012,8-13-26-39-43,03.05.2022,X-8-8-0-Q
10.04.2012,22-25-27-36-37,05.09.2022,I-2-3-9-H
06.04.2012,11-20-30-35-45,02.03.2022,A-9-9-5-E
03.04.2012,1-8-18-25-30,09.10.2022,I-4-6-5-L
30.03.2012,4-17-23-36-46,06.10.2022,Z-5-3-7-Q
27.03.2012,24-27-29-34-36,07.08.2022,L-0-3-9-G
23.03.2012,9-15-23-31-50,08.11.2022,X-9-5-5-N
20.03.2012,15-16-28-30-46,03.04.2022,B-5-5-1-K
16.03.2012,3-4-12-23-50,04.07.2022,E-7-4-3-L
13.03.2012,1-10-25-43-47,08.09.2022,O-7-7-6-V
09.03.2012,3-32-36-39-47,06.09.2022,I-1-5-1-S
06.03.2012,23-24-27-37-47,02.06.2022,H-8-3-1-T
02.03.2012,5-6-11-30-44,02.06.2022,B-6-4-7-X
28.02.2012,1-10-17-33-48,02.03.2022,Q-6-4-2-M
24.02.2012,3-7-12-26-34,08.10.2022,C-3-6-7-L
21.02.2012,11-14-24-25-29,07.11.2022,L-0-7-3-F
17.02.2012,4-11-28-38-47,10.11.2022,B-4-2-0-U
14.02.2012,14-27-36-42-46,08.11.2022,O-9-4-6-F
10.02.2012,3-8-14-31-41,07.11.2022,I-4-1-1-S
07.02.2012,3-15-17-28-33,02.04.2022,I-1-4-0-K
03.02.2012,16-19-20-25-28,01.10.2022,W-0-0-3-B
31.01.2012,9-34-38-43-45,02.04.2022,X-9-4-7-Z
27.01.2012,10-13-19-39-44,02.06.2022,V-9-1-9-V
24.01.2012,1-2-6-20-36,08.11.2022,E-1-6-6-X
20.01.2012,2-10-22-27-28,06.08.2022,T-0-6-5-C
17.01.2012,12-22-30-31-44,05.06.2022,J-7-8-3-F
13.01.2012,13-14-21-27-39,06.08.2022,F-2-5-9-W
10.01.2012,4-9-10-30-40,02.09.2022,L-1-7-8-O
06.01.2012,1-6-10-12-31,02.07.2022,K-7-9-9-E
03.01.2012,3-30-42-45-49,05.10.2022,R-9-6-4-B
30.12.2011,16-36-43-44-50,07.08.2022,U-3-9-6-W
27.12.2011,19-21-25-26-44,03.07.2022,M-8-5-2-V
23.12.2011,7-21-22-24-28,01.11.2022,P-8-7-0-M
20.12.2011,1-9-12-14-48,01.07.2022,T-9-3-3-O
16.12.2011,2-5-10-23-31,02.05.2022,Y-4-2-3-P
13.12.2011,7-12-18-33-37,01.11.2022,A-9-8-5-V
09.12.2011,12-21-29-44-47,01.02.2022,T-1-8-7-N
06.12.2011,19-20-21-34-38,03.09.2022,J-3-2-4-T
02.12.2011,7-27-30-40-43,08.09.2022,T-6-9-9-U
29.11.2011,11-25-41-45-50,02.07.2022,O-6-4-2-L
25.11.2011,14-19-26-28-34,05.08.2022,J-5-4-0-O
22.11.2011,16-18-24-38-40,02.04.2022,T-0-3-6-P
18.11.2011,4-12-24-39-44,02.04.2022,F-8-3-4-V
15.11.2011,6-17-22-45-47,03.11.2022,Y-2-8-6-J
11.11.2011,1-4-18-23-30,03.07.2022,T-7-8-7-D
08.11.2011,1-4-15-29-40,01.05.2022,H-5-5-1-M
04.11.2011,11-14-41-43-50,02.09.2022,D-9-9-3-R
01.11.2011,14-20-23-45-46,01.11.2022,I-6-2-7-S
28.10.2011,16-17-20-39-50,04.08.2022,N-0-8-7-T
25.10.2011,12-22-27-28-39,04.10.2022,M-5-3-2-S
21.10.2011,2-19-33-37-46,05.08.2022,N-4-5-2-Z
18.10.2011,18-23-37-46-48,02.10.2022,V-0-7-7-X
14.10.2011,12-23-29-32-47,03.05.2022,S-8-6-4-K
11.10.2011,1-4-12-16-48,09.10.2022,M-2-8-2-J
07.10.2011,18-26-34-38-42,05.08.2022,P-5-2-7-R
04.10.2011,14-16-23-38-45,08.11.2022,I-4-9-1-F
30.09.2011,5-15-28-31-44,01.06.2022,C-7-3-4-M
27.09.2011,18-27-28-35-40,03.05.2022,T-1-8-5-X
23.09.2011,6-14-33-34-48,02.06.2022,H-2-6-1-L
20.09.2011,9-19-25-36-38,07.11.2022,P-5-6-0-S
16.09.2011,2-8-17-39-42,03.10.2022,B-2-9-5-P
13.09.2011,9-28-30-32-49,09.10.2022,Y-7-6-2-Q
09.09.2011,5-21-28-31-34,01.02.2022,O-9-5-1-J
06.09.2011,35-42-47-48-50,08.09.2022,X-8-3-4-L
02.09.2011,12-26-37-38-44,04.07.2022,F-6-1-8-F
30.08.2011,2-8-10-19-46,05.09.2022,S-7-8-6-Y
26.08.2011,12-22-25-33-45,05.07.2022,Y-4-1-0-X
23.08.2011,4-6-14-42-50,02.04.2022,D-9-3-6-U
19.08.2011,6-14-16-28-31,02.11.2022,O-9-4-7-X
16.08.2011,1-13-17-18-45,03.08.2022,R-1-0-9-Y
12.08.2011,7-10-20-27-37,04.07.2022,R-7-9-0-F
09.08.2011,7-23-24-34-36,08.11.2022,E-6-6-4-J
05.08.2011,13-14-18-32-34,01.10.2022,Z-3-4-0-N
02.08.2011,5-8-14-24-33,03.08.2022,P-8-6-6-E
29.07.2011,12-19-27-37-38,05.10.2022,M-3-0-3-Z
26.07.2011,1-5-22-25-48,03.11.2022,W-6-9-9-U
22.07.2011,4-15-23-49-50,02.06.2022,K-2-0-7-R
19.07.2011,3-16-25-26-35,05.09.2022,L-3-1-0-I
15.07.2011,6-26-33-34-39,03.04.2022,U-1-3-7-A
12.07.2011,17-19-38-42-45,09.10.2022,S-6-2-2-C
08.07.2011,12-13-23-40-49,07.10.2022,A-2-5-1-Q
05.07.2011,11-28-29-47-49,01.05.2022,R-1-4-7-M
01.07.2011,8-11-23-31-46,08.09.2022,J-9-4-0-C
28.06.2011,15-16-30-44-50,02.03.2022,J-0-3-8-C
24.06.2011,5-16-20-30-41,06.11.2022,C-1-9-0-H
21.06.2011,17-20-35-49-50,03.04.2022,P-1-5-4-T
17.06.2011,11-16-21-22-44,03.08.2022,V-8-7-6-Q
14.06.2011,5-12-19-41-48,08.10.2022,U-0-5-9-L
10.06.2011,3-19-20-37-48,08.11.2022,X-3-7-7-C
07.06.2011,6-25-36-38-40,04.10.2022,N-9-2-7-O
03.06.2011,4-39-40-49-50,02.05.2022,W-3-1-8-K
31.05.2011,1-9-10-22-50,05.11.2022,F-4-1-8-K
27.05.2011,9-17-25-28-49,08.09.2022,S-1-4-4-T
24.05.2011,16-23-24-26-29,02.09.2022,U-6-5-4-U
20.05.2011,10-14-20-25-42,08.11.2022,F-7-7-6-X
17.05.2011,20-21-37-45-46,02.03.2022,V-4-5-6-M
13.05.2011,9-11-17-36-47,01.02.2022,D-6-0-8-U
10.05.2011,3-10-15-28-45,05.07.2022,E-6-0-0-D
06.05.2011,11-16-20-22-28,04.09.2022,E-8-5-5-N
29.04.2011,15-25-38-40-41,01.02.2022,P-2-9-8-C
22.04.2011,11-22-36-45-48,01.04.2022,X-1-3-2-I
15.04.2011,4-6-21-39-41,02.06.2022,J-9-9-0-D
08.04.2011,21-23-38-47-50,02.06.2022,G-1-6-9-C
01.04.2011,4-17-21-22-33,04.08.2022,D-4-5-8-U
25.03.2011,6-12-21-27-33,03.07.2022,J-0-1-7-K
18.03.2011,1-13-20-26-50,06.07.2022,X-3-7-9-F
11.03.2011,17-19-24-37-46,02.07.2022,V-1-3-5-B
04.03.2011,11-25-27-28-41,05.08.2022,M-0-5-3-M
25.02.2011,12-13-42-45-48,03.09.2022,V-3-7-4-I
18.02.2011,2-3-15-45-49,05.09.2022,A-9-5-2-B
11.02.2011,12-14-15-19-23,07.08.2022,F-3-4-0-B
04.02.2011,2-11-24-35-47,05.09.2022,S-8-5-7-D
28.01.2011,13-23-24-41-42,01.05.2022,T-5-1-0-V
21.01.2011,3-11-13-18-21,04.05.2022,Q-8-8-7-I
14.01.2011,2-14-24-39-44,06.07.2022,P-2-8-9-W
07.01.2011,1-22-32-48-50,06.07.2022,D-0-0-6-E
31.12.2010,2-24-34-38-43,01.07.2022,Z-3-7-5-H
24.12.2010,19-36-38-42-46,02.08.2022,V-3-6-8-Y
17.12.2010,3-20-29-35-42,03.08.2022,Z-2-9-8-M
10.12.2010,2-3-10-33-46,07.08.2022,I-1-1-1-F
03.12.2010,8-19-28-32-46,04.07.2022,D-5-2-8-P
26.11.2010,9-28-36-41-49,05.07.2022,R-3-8-0-V
